# Cycle: 87, status: ACC
#     Step              Filename       index    vel
         0      004_93_trajB.xyz           8     -1
         1      004_93_trajB.xyz           7     -1
         2      004_93_trajB.xyz           6     -1
         3      004_93_trajB.xyz           5     -1
         4      004_93_trajB.xyz           4     -1
         5      004_93_trajB.xyz           3     -1
         6      004_93_trajB.xyz           2     -1
         7      004_93_trajB.xyz           1     -1
         8      004_93_trajB.xyz           0     -1
         9      004_91_trajB.xyz           7     -1
        10      004_91_trajB.xyz           6     -1
        11      004_91_trajB.xyz           5     -1
        12      004_91_trajB.xyz           4     -1
        13      004_91_trajB.xyz           3     -1
        14      004_91_trajB.xyz           2     -1
        15      004_91_trajB.xyz           1     -1
        16      004_91_trajB.xyz           0     -1
        17      004_92_trajF.xyz           1      1
        18      004_92_trajF.xyz           2      1
        19      004_92_trajF.xyz           3      1
        20      004_92_trajF.xyz           4      1
        21      004_92_trajF.xyz           5      1
        22      004_92_trajF.xyz           6      1
        23      004_92_trajF.xyz           7      1
        24      004_94_trajF.xyz           0      1
        25      004_94_trajF.xyz           1      1
        26      004_94_trajF.xyz           2      1
        27      004_94_trajF.xyz           3      1
        28      004_94_trajF.xyz           4      1
        29      004_94_trajF.xyz           5      1
        30      004_94_trajF.xyz           6      1
        31      004_94_trajF.xyz           7      1
